ID,Label,Type,Image,birthPlaceLabel,birthCountryLabel,deathPlaceLabel,deathCountryLabel,Samengestelde werkplaatsen,Samengestelde woonplaatsen,Bijhorendland,BijhorendlandLabel
Q115818424,Achiel Piepers,Person,,Kuurne,België,Ardooie,België,,,,
Q119013873,Achiel Van de Putte,Person,,Rollegem-Kapelle,België,Veurne,België,,,,
Q119217729,Achille Croquison,Person,,Kortrijk,België,Kortrijk,België,,,,
Q115834468,Achilles Bohyn,Person,,Kruishoutem,België,Oostwinkel,België,,,,
Q123417058,Adela Pauline Courtens,Person,,Harelbeke,België,Harelbeke,België,,,,
Q125306156,Adelaida Antonia Vuylsteke,Person,,Menen,België,Kortrijk,België,,,,
Q113754119,Adolf De Wolf,Person,,Brugge,België,,,,,,
Q2524668,Adolf Duclos,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Duclos001.jpg,Brugge,België,Brugge,België,,,,
Q4722117,Adolf Lootens,Person,,Brugge,België,Highgate,Verenigd Koninkrijk,,,,
Q43140929,Adolf Pauwels,Person,,Berchem,België,Antwerpen,België,,,,
Q100534520,Adolf Verriest,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Karel%20vader%20Petrus%20moeder%20Carolina%20Verriest%20in%201861.jpg,Deerlijk,België,Kortrijk,België,,,,
Q5580544,Adrianus Bogaers,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Adrianus%20Bogaers.jpg,Den Haag,Nederland,Spa,België,,,,
Q123051567,Agnes Cecilia Young,Person,,,,,,,,,
Q116687284,Agnes Mary Christophers,Person,,St Pancras,Verenigd Koninkrijk,,,,,,
Q115814290,Aimé Erneste Marie Dierick,Person,,Izegem,België,Harelbeke,België,,,,
Q115834690,Aimé Lagae,Person,,Heule,België,Brugge,België,,,,
Q15627098,Albany James Christie,Person,,Southwark,Verenigd Koninkrijk,Groot-Londen,Verenigd Koninkrijk,,,,
Q15627098,Albany James Christie,Person,,Groot-Londen,Verenigd Koninkrijk,Groot-Londen,Verenigd Koninkrijk,,,,
Q118772822,Albert Aimé Marie Vandewalle,Person,,,,,,,,,
Q586323,Albert Verwey,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Albert%20Verwey%20Rijksmuseum%20SK-C-1680.jpeg,Amsterdam,Nederland,Noordwijk aan Zee,Nederland,,,,
Q2832059,Albéric Emmanuel Henri Marie Ghislain Ruzette,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Weekblad%20Pallieter%20-%20voorpagina%201924%2023%20baron%20ruzette.jpg,Sint-Joost-ten-Node,België,Brugge,België,,,,
Q56036018,Alexandre Bonvarlet,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Bonvarlet%20by%20Michel%20Berthaud.jpg,Duinkerke,Frankrijk,Nieuw-Koudekerke,Frankrijk,,,,
Q125490771,Alexandre Marie Ghislain Gillès de Pélichy,Person,,Antwerpen,België,Brugge,België,,,,
Q2332586,Alexis De Carne,Person,,Stavele,België,Roeselare,België,,,,
Q119729450,Alfons Algoet,Person,,Brugge,België,Brugge,België,,,,
Q118142378,Alfons Bouckaert,Person,,Beveren,België,Torhout,België,,,,
Q110039191,Alfons Dassonville,Person,,Heule,België,Kortrijk,België,,,,
Q2100582,Alfons De Cock,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20de%20Cock%2C%20PA05233.jpg,Herdersem,België,Antwerpen,België,,,,
Q2638823,Alfons Janssens,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20Janssens.jpg,Sint-Niklaas,België,Luzern,Zwitserland,,,,
Q56036059,Alfons Maria Napoleon Prayon-van Zuylen van Nyevelt,Person,,Gent,België,Twickenham,Verenigd Koninkrijk,,,,
Q2675588,Alfons Mervillie,Person,,Wontergem,België,Kortrijk,België,,,,
Q2539969,Alfons Siffer,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20Siffer%201850-1941.jpg,Zomergem,België,Gent,België,,,,
Q119621396,Alfons Steinmetz,Person,,,,,,,,,
Q120973166,Alfons Van Doorne,Person,,Poeke,België,Aalter,België,,,,
Q2050293,Alfons Van Hee,Person,,Lo-Reninge,België,Moere,België,,,,
Q26845752,Alfred Guichon de Grandpont,Person,,Dijon,Frankrijk,Brest,Frankrijk,,,,
Q115820635,Alfred Neut,Person,,Gent,België,Calcutta,India,,,,
Q115815697,Aloysius De Visschere,Person,,Ruddervoorde,België,Emelgem,België,,,,
Q115833316,Aloysius Farasyn,Person,,Lichtervelde,België,Heestert,België,,,,
Q115979418,Aloysius Vandemaele,Person,,Zwevegem,België,Asper,België,,,,
Q115821483,Aloïs Baelen,Person,,Poperinge,België,Kortrijk,België,,,,
Q2580620,Aloïs Nelis,Person,,Antwerpen,België,Leuven,België,,,,
Q119013806,Aloïs Van de Pitte,Person,,Brugge,België,Brugge,België,,,,
Q2298746,Aloïs Walgrave,Person,,Gent,België,Brugge,België,,,,
Q2450554,Alphonse De Leyn,Person,,Brugge,België,Brugge,België,,,,
Q11071766,Alphonse de Voss,Person,,Mesen,België,China,,,,,
Q11071766,Alphonse de Voss,Person,,Frankrijk,Frankrijk,China,,,,,
Q2099446,Amaat Joos,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Amaat%20Joos.jpg,Hamme,België,Gent,België,,,,
Q3421496,Amaat Vyncke,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Amaat%20Vyncke.jpg,Zedelgem,België,Kibanga,Tanzania,,,,
Q970036,Amand Neut,Person,,Moorsele,België,Gent,België,,,,
Q2481707,Amand de Vos,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Wazenaar%20Amand%20de%20Vos.jpg,Eksaarde,België,Gent,België,,,,
Q136750770,Amandus Cornelius Dequidt,Person,,Poperinge,België,Poperinge,België,,,,
Q115831039,Amandus Devloo,Person,,Alveringem,België,Lichtervelde,België,,,,
Q124619468,Amelia Vander Stichele,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Schilderij%20Henri%20Dobbelaere%20Engelendale.jpg,Sint-Eloois-Winkel,België,Mariakerke,België,,,,
Q1280942,Amédée Visart de Bocarmé,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20burgemeester%20Am%C3%A9d%C3%A9e%20Visart%20de%20Bocarm%C3%A9%2C%20circa%201837%20-%20circa%201924%2C%20Groeningemuseum%2C%200041286000.jpg,Sint-Kruis,België,Brugge,België,,,,
Q131923924,Amélie Emérentine Joseph Mullier,Person,,Moeskroen,België,Menen,België,,,,
Q122831276,Amélie Frère,Person,,Tongeren,België,Flône,België,,,,
Q119039774,Andries J. Winkler,Person,,Leeuwarden,Nederland,Haarlem,Nederland,,,,
Q13429634,Angelus August Eugeen Angillis,Person,,,,,,,,,
Q115842281,Angelus Dumelie,Person,,Poperinge,België,Kortrijk,België,,,,
Q123050649,Ann Jordan,Person,,Engeland,Verenigd Koninkrijk,,,,,,
Q116656531,Anna Demets,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Portretfoto%20Anna%20Demets.jpg,Kortrijk,België,,,,,,
Q116508558,Anne Hill,Person,,Pendleton,Verenigd Koninkrijk,Barton upon Irwell,Verenigd Koninkrijk,,,,
Q115830433,Antoine Wemaer,Person,,Brugge,België,Brugge,België,,,,
Q2360599,Antoon Jozef Witteryck,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Wytterick%2023.JPG,Oostkamp,België,Assebroek,België,,,,
Q62117109,Antoon Verwaetermeulen,Person,,Kortrijk,België,Brugge,België,,,,
Q120897770,Armand Valcke,Person,,Ingelmunster,België,,,,,,
Q115979140,Arsenius Dehulster,Person,,Roeselare,België,Kortrijk,België,,,,
Q3450211,Arthur De Schrevel,Person,,Wervik,België,Brugge,België,,,,
Q122971839,Arthur Jean Botte,Person,,Gent,België,Brugge,België,,,,
Q115818861,Arthur Lewylle,Person,,Vlamertinge,België,Ukkel,België,,,,
Q115834833,Arthur Maria Gustavus Florimond Plettinck,Person,,Meulebeke,België,Tongerlo,België,,,,
Q120164850,Arthur Robinson,Person,,Newport,Verenigd Koninkrijk,Brugge,België,,,,
Q115979812,August Busschaert,Person,,Marke,België,Nieuwpoort,België,,,,
Q2215154,August Cuppens,Person,,Beringen,België,Loksbergen,België,,,,
Q120639934,August Delbaere,Person,,Aalbeke,België,Kortrijk,België,,,,
Q115818168,August Hoflack,Person,,Staden,België,Oostvleteren,België,,,,
Q115839088,August Laporta,Person,,Lier,België,Lier,België,,,,
Q119625085,August Selosse,Person,,,,,,,,,
Q764378,August Vermeylen,Person,http://commons.wikimedia.org/wiki/Special:FilePath/AugustVermeylen2.jpg,Stedelijk gebied Brussel,België,Ukkel,België,,,,
Q125535110,August William McDonogh,Person,,Lambeth,Verenigd Koninkrijk,Hastings,Verenigd Koninkrijk,,,,
Q122842403,Augusta Lewis Bampfield,Person,,Londen,Verenigd Koninkrijk,Hertford,Verenigd Koninkrijk,,,,
Q117246862,Augusta Maria Mathildis Vyncke,Person,,Zedelgem,België,Snellegem,België,,,,
Q2490990,Auguste Reynaert,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Kortrijk%20Astridpark-11.JPG,Anzegem,België,Kortrijk,België,,,,
Q2059291,Auguste Reyns,Person,,Brugge,België,Brugge,België,,,,
Q2658862,Auguste Van Speybrouck,Person,,Brugge,België,Brugge,België,,,,
Q115813025,Auguste de Laage de Bellefaye,Person,,Sint-Omaars,Frankrijk,Sint-Andries,België,,,,
Q120999304,Augustijn Van Heuverswyn,Person,,Nazareth,België,Aalst,België,,,,
Q115825488,Augustin Frutsaert,Person,,Sint-Omaars,Frankrijk,Brugge,België,,,,
Q115844105,Augustin Van Becelaere,Person,,Kortrijk,België,Kachtem,België,,,,
Q115979130,Augustinus De Geetere,Person,,Brugge,België,Brugge,België,,,,
Q115835531,Augustinus Ghequiere,Person,,Rollegem,België,Brussel,België,,,,
Q115840920,Augustus Declerc,Person,,Nieuwpoort,België,Salford,Verenigd Koninkrijk,,,,
Q115823355,Augustus Rodts,Person,,Knesselare,België,Middelburg,België,,,,
Q4865289,Bartholomew Woodlock,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Bartholomew%20Woodlock%2C%20portrait.png,Dublin,Ierland,Dublin,Ierland,,,,
Q115826830,Benedictus Goeman,Person,,Heldergem,België,Moerzeke,België,,,,
Q822307,Bernard Bernard,Person,http://commons.wikimedia.org/wiki/Special:FilePath/%28Baumg1889%29%20Bernard%20Bernard%20%28Kathol.%20Missionar%20auf%20Island%29.jpg,Mogues,Frankrijk,Noirétable,Frankrijk,,,,
Q122884053,Bernard Joseph Weale,Person,,Brugge,België,Australië,Australië,,,,
Q115812384,Bernardus Josephus Colier,Person,,Brugge,België,Westkapelle,België,,,,
Q122818902,Bertha Wachowsky,Person,,Münster,Duitsland,,,,,,
Q115829623,Bruno De Splenter,Person,,Ooigem,België,Kortrijk,België,,,,
Q115836783,Bruno Joseph Jean Vandale,Person,,Kortrijk,België,Poperinge,België,,,,
Q115839360,Bruno Van Hove,Person,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Monsieur%20le%20chanoine%20Van%20Hove%2C%201869%2C%20Musea%20Brugge%2C%200020.GRO0352.III.jpg,Izegem,België,Tielt,België,,,,
Q115308515,Bruno Vander Stichele,Person,,Gullegem,België,Gullegem,België,,,,
Q2154331,Caesar Gezelle,Person,,Brugge,België,Moorslede,België,,,,
Q2154331,Caesar Gezelle,Person,,Brugge,België,Moorsele,België,,,,
Q115840234,Camiel Roelandts,Person,,Ingelmunster,België,Harelbeke,België,,,,
Q120729190,Camiel-Hector Marichal,Person,,Beernem,België,Argentinië,Argentinië,,,,
Q117409336,Camille Lateur,Person,,Avelgem,België,Avelgem,België,,,,
Q2203619,Camille Looten,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Canon%20Camille%20Looten.jpg,Noordpene,Frankrijk,Rijsel,Frankrijk,,,,
Q123689972,Camillus Delaere,Person,,Hulste,België,Sint-Andries,België,,,,
Q5026719,Camillus Paul Maes,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Bishop%20Camillus%20Paul%20Maes.jpg,Kortrijk,België,Covington,Verenigde Staten,,,,
Q123399443,Carolina Theresia Lefebvre,Person,,Kortrijk,België,Kortrijk,België,,,,
Q122775600,Caroline Harriet Locke,Person,,Newcastle West,Ierland,Sarrebourg,Frankrijk,,,,
Q115982585,Carolus Ludovicus Brondel,Person,,Brugge,België,Brugge,België,,,,
Q115811027,Carolus Ludovicus Crupelant,Person,,Gullegem,België,Roesbrugge-Haringe,België,,,,
Q136759863,Carolus Philippus Joannes Marie Josephus de Patin de Langemarck,Person,,Langemark,België,Langemark,België,,,,
Q115839380,Carolus Surmont,Person,,Zevekote,België,Zevekote,België,,,,
Q115838420,Carolus Van den Broucke,Person,,Eernegem,België,Moorslede,België,,,,
Q115979029,Casimir Affenaer,Person,,Menen,België,Veurne,België,,,,
Q111744944,Casper Lambertus van Langenhuijsen,Person,,s-Hertogenbosch,Nederland,Amsterdam,Nederland,,,,
Q116621487,Catharine Macdaniel,Person,,Londen,Verenigd Koninkrijk,Londen,Verenigd Koninkrijk,,,,
Q122830932,Catherine Hart,Person,,Dublin,Ierland,Brighton,Verenigd Koninkrijk,,,,
Q123422368,Catherine O'Farrell,Person,,Belfast,Verenigd Koninkrijk,,,,,,
Q122853878,Catherine Simpson Mackenzie,Person,,Fortrose,Verenigd Koninkrijk,,,,,,
Q116620739,Catherine de Kyvere,Person,,Heule,België,,,,,,
Q123600982,Cathérine Joséphine Mesnage,Person,,Brussel,België,Kortrijk,België,,,,
Q118189670,Cecilia Sarah De Lisle,Person,,Edinburgh,Verenigd Koninkrijk,Londen,Verenigd Koninkrijk,,,,
Q136759797,Charles Adolphe De Waele,Person,,Roubaix,Frankrijk,Klerken,België,,,,
Q56174577,Charles Alban Buckler,Person,,,,,,,,,
Q1877721,Charles Carton,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Carton.jpg,Pittem,België,Brugge,België,,,,
Q2715338,Charles Delcour,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Membres%20du%20Minist%C3%A8re%20%28Delcour%29.jpg,Dolhain,België,Leuven,België,,,,
Q120640333,Charles Denys,Person,,,,,,,,,
Q136805616,Charles François Joseph Soudan,Person,,Aalter,België,Gent,België,,,,
Q661733,Charles Gillès de Pelichy,Person,,Brugge,België,Brugge,België,,,,
Q125472556,Charles Grant Edmonstone,Person,,Dumbarton,Verenigd Koninkrijk,Pietermaritzburg,Zuid-Afrika,,,,
Q5006521,Charles Hodgson Fowler,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Church%20of%20St%20Oswald%20-%20detail%20of%20stained%20glass%20window%20depicting%20church%20architect%2C%20Charles%20Hodgson%20Fowler%20%28cropped%29.jpg,Nottinghamshire,Verenigd Koninkrijk,Durham,Verenigd Koninkrijk,,,,
Q122974430,Charles Joseph Pagliano,Person,,,,,,,,,
Q119040354,Charles Joseph Vercauteren,Person,,Brugge,België,Brugge,België,,,,
Q115817919,Charles Louis Goemaere,Person,,Meulebeke,België,Ruiselede,België,,,,
Q122971101,Charles Louis Poublon,Person,,Wevelgem,België,Kortrijk,België,,,,
Q55233295,Charles Van Cauwenberghe,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20van%20Cauwenberghe.%20Photograph%20by%20J.C.%20Jaeger.%20Wellcome%20V0028110.jpg,Wortegem-Petegem,België,Gent,België,,,,
Q3538623,Charles van Caloen,Person,http://commons.wikimedia.org/wiki/Special:FilePath/PM%20161806%20B%20Loppem%20%28Charles%20van%20Caloen%29.jpg,Brugge,België,Brugge,België,,,,
Q120555811,Charles-Jean De Mulié,Person,,Kortrijk,België,Kortrijk,België,,,,
Q1149378,"Charlotte Fitzalan-Howard, Duchess of Norfolk",Person,http://commons.wikimedia.org/wiki/Special:FilePath/Charlotte%20Sophia%2C%20Countess%20of%20Surrey%20%281788-1870%29%2C%20by%20studio%20of%20Sir%20Thomas%20Lawrence.jpg,Londen,Verenigd Koninkrijk,Londen,Verenigd Koninkrijk,,,,
Q122974373,Clara Andrews,Person,,,,,,,,,
Q115104760,Clementia Hiers,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Clementia%20Hiers%20%28Hendrik%20De%20Pondt%2C%201878%29.jpg,Kortrijk,België,Kortrijk,België,,,,
Q116510419,Colette Virginie Parvost,Person,,Kortrijk,België,Kortrijk,België,,,,
Q2457997,Constant Hansen,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Hansen%2C%20Constant%20Jacob%20%281833-1910%29%3B%20letterkundige%20en%20hoofdbibliothecaris%20stadsbibliotheek%20Antwerpen%2C%20Haeck%2C%20Leopold%2C%20Felixarchief%2C%2012%209296%20recto%20%28cropped%29.jpg,Vlissingen,Nederland,Brasschaat,België,,,,
Q115819047,Constant Van Coillie,Person,,Hooglede,België,Kortrijk,België,,,,
Q115816445,Constantin Lagae,Person,,Roeselare,België,,,,,,
Q115837593,Constantin Thoma,Person,,Oostende,België,Oostende,België,,,,
Q115837342,Constantinus Roelandts,Person,,Ingelmunster,België,Dikkebus,België,,,,
Q115839443,Constantinus Van Zieleghem,Person,,Tielt,België,Brugge,België,,,,
Q113466955,Cordelia Van de Wiele,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Cordelia%20Van%20de%20Wiele%20-%20secretaresse%20Guido%20Gezelle.jpg,Kortrijk,België,Kortrijk,België,,,,
Q120793054,Cuthbert Robinson,Person,,Middlesex,Verenigd Koninkrijk,Londen,Verenigd Koninkrijk,,,,
Q98322098,Cyriel Delaere,Person,,Lendelede,België,Leffinge,België,,,,
Q122884757,Cyril James Weale,Person,,Brugge,België,Q5125864,Verenigd Koninkrijk,,,,
Q122779793,Delphine Frederica Marie Blancke,Person,,Dadizele,België,Dadizele,België,,,,
Q118998471,Denis Auguste Julien Roger,Person,,Brugge,België,Brugge,België,,,,
Q115834834,Desideer Meersseman,Person,,Geluveld,België,Moorsele,België,,,,
Q120556534,Desiderius De Pau,Person,,Maldegem,België,Maldegem,België,,,,
Q118733026,Domenico Macry Correale,Person,,Siderno,Italië,Siderno,Italië,,,,
Q126113249,Domenico Pisani,Person,,Palmata,Italië,Dublin,Ierland,,,,
Q117244211,Dymphna Gezelle,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20Dymphna%20Gezelle%20%282%29.jpg,Brugge,België,Leuven,België,,,,
Q55911879,Désiré Claes,Person,,Neerlinter,België,Namen,België,,,,
Q115836065,Edezius Goormachtigh,Person,,Dottenijs,België,Luik,België,,,,
Q377071,Edgar Tinel,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Edgar%20Tinel%201911.jpg,Sinaai,België,Brussel,België,,,,
Q122903342,Edith-Cathare Smith,Person,,Londen,Verenigd Koninkrijk,Marylebone,Verenigd Koninkrijk,,,,
Q120718341,Edmond Amand Constant Lecompte,Person,,Wervik,België,,,,,,
Q136762833,Edmond Antoine Marie Gilleman,Person,,Brugge,België,Brugge,België,,,,
Q118120867,Edmond De Plancke,Person,,Brugge,België,Brugge,België,,,,
Q13575367,Edmond Denys,Person,,Roeselare,België,Lichtervelde,België,,,,
Q136759995,Edmond Désiré Deckmyn,Person,,Roeselare,België,Brussel,België,,,,
Q115820636,Edmond Neut,Person,,Gent,België,Kandy,Sri Lanka,,,,
Q115836962,Edmond Soenen,Person,,Wingene,België,Brugge,België,,,,
Q4902927,Edmond Van Hee,Person,,Lo,België,Veurne,België,,,,
Q18533827,Edmond Van der Straeten,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Edmond%20Van%20der%20Straeten%201895%20barcode%20910000105444.jpg,Oudenaarde,België,Oudenaarde,België,,,,
Q119690392,Edmond Wallays,Person,,Leffinge,België,Q7683408,Maleisië,,,,
Q118792556,Edmund Benedict Hicks,Person,,Emsworth,Verenigd Koninkrijk,Nantes,Frankrijk,,,,
Q122963358,Edouard Amand Justin Marie Neut,Person,,Gent,België,Brugge,België,,,,
Q120442396,Edouard François Huys,Person,,Geluwe,België,Poperinge,België,,,,
Q120721942,Edouard Lietaer,Person,,,,,,,,,
Q115839320,Edouardus Vyncke,Person,,Beveren,België,Kortrijk,België,,,,
Q120550899,Eduard De Jonghe,Person,,Pittem,België,Izegem,België,,,,
Q115839353,Eduard Verraes,Person,,Menen,België,Tielt,België,,,,
Q122963909,Eduardus Edmondus Van Wtberghe,Person,,Poperinge,België,Poperinge,België,,,,
Q2345694,Edward De Gryse,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Edward%20De%20Gryse%20-%20priester-deken%20-%20Kortrijk.jpg,Roeselare,België,Kortrijk,België,,,,
Q115979952,Edward Declercq,Person,,Lauwe,België,Kortrijk,België,,,,
Q2360914,Edward Gailliard,Person,,Brugge,België,Brugge,België,,,,
Q13575404,Edward Van Even,Person,http://commons.wikimedia.org/wiki/Special:FilePath/EdwardVanEven.jpg,Leuven,België,Leuven,België,,,,
Q113925472,Edward Van Robays,Person,,Egem,België,Indië,,,,,
Q110039219,Edward Verschelde,Person,,Otegem,België,Kuurne,België,,,,
Q119217748,Edward Vlietinck,Person,,Oostende,België,Berchem,België,,,,
